"ID","Site","Length","Width","Thickness","Other.typologies","Angle.1","Angle.2","Angle.3","Angle.4","Angle.5","Bow","Area","Long.base","Short.base","Campaign","Layer","Colour","Distal.side.length","Proximal.side.length","Date","Date.BP","Calibrated.date","Sd.Date.BP","Direction.bow","Direction.short.base","Direction.distal.side","Direction.proximal.side","Excavated.by","Extension.bow","Extension.short.base","Extension.distal.side","Extension.proximal.side","Phase","Reliability","Broad.Shape","Type.Fortea","Type.Garcia.Puchol","Type.Juan.Cabanilles","Original.museum.ID","Location.museum.ID","Inclination.bow","Inclination.short.base","Inclination.distal.side","Inclination.proximal.side","Shape.Proximal","Reliability.proximal","Shape.distal","Reliability.distal","Shape.short.base","Reliability.short.base","Shape.bow","Reliability.bow","Raw.material","Microburin","Archaeological.level","Comments","Outline.vertex","Orientation","Grid","Residual.retouch","Sector","Symmetry","Sub.grid","Location","X","Y","Z","Vertex","X_geo","Y_geo","Z_geo","rel","Label.Fortea"
3,"Cueva de la Cocina","1.77","0.77","0.14","","37.18","59.81","143.19","119.82","0","0","0.78","1.77","0.6",1942,1,"Gris clar","0.72","1.01","13.07.2017",NA,"",NA,"No escau","Directa","Directa","Directa","Pericot","No escau","Continu","Continu","Continu","","100","Trapezi","G8. Trapecio con la base pequena retocada","TRa 9.1.7 Trapecio con la base pequena retocada","G17. Trapecio con la base pequena retocada","1128",120369,"No escau","Abrupte/Simple","Abrupte","Abrupte","Rectilini","Complet","Convex suau","Complet","Convex","Complet","No escau","No escau","Silex","No","","","Triangular","Dreta","","Si","RSE","No","","SIP",NA,NA,"","Taprezoidal","","","",100,"G9"
4,"Cueva de la Cocina","2.12","0.63","0.25","","29.79","28.21","147.86","154.15","0","0","0.83","2.36","0.37",1942,1,"Gris clar","1.15","1.12","13.07.2017",NA,"",NA,"No escau","Directa","Directa","Directa","Pericot","No escau","Continu","Continu","Continu","","97.24","Trapezi","G8. Trapecio con la base pequena retocada","TRa 9.1.7 Trapecio con la base pequena retocada","G17. Trapecio con la base pequena retocada","1126",120369,"No escau","Abrupte","Abrupte","Abrupte","Rectilini","Incomplet","Recte regular","Complet","Rectilini","Complet","No escau","No escau","Silex","No","","","Triangular","Esquerra","","No","RSE","Si","","SIP",NA,NA,"","Taprezoidal","","","",97.24,"G9"
5,"Cueva de la Cocina","1.86","0.7","0.24","","49.04","29.14","0","0","101.81","0","0.81","1.85","0",1942,1,"Ocre","1.43","0.92","13.07.2017",NA,"",NA,"No escau","No escau","Directa","Directa","Pericot","No escau","No escau","Continu","Continu","","100","Triangle","G14. Triangulo escaleno con el lado pequeno convexo","Ta 9.3.5 Triangulo escaleno con el lado pequeno convexo","G3. Triangulo de retoque abrupto","1126",120369,"No escau","No escau","Abrupte","Abrupte","Convex","Complet","Convex suau","Complet","No escau","No escau","No escau","No escau","Silex","No","","- Els retocs de la base major pareixen d'us- Les tipologia G14 de Fortea i Ta.9.3.5 de Garcia Puchol aci son sensu lato, perque
 el costat llarg tambe es convexe.","Triangular","Esquerra","","Si","RSE","No","","SIP",NA,NA,"","Si","","","",100,"G14"
7,"Cueva de la Cocina","1.86","0.59","0.18","","52.68","34.63","0","0","0","2.23","0.7","1.89","0",1942,1,"Ocre","1.09","1.04","18.07.2017",NA,"",NA,"No escau","Directa","Directa","Directa","Pericot","No escau","Continu","Continu","Continu","","100","Segment","G1. Segmento o media Luna","Sa 9.5 Segmento de retoque abrupto","G1. Segmento de retoque abrupto","1116",120369,"No escau","Abrupte","Abrupte","Abrupte","Convex","No escau","Convex","No escau","Convex","No escau","Centrat suau","Complet","Silex","No","","","Segmentoïde","Esquerra","","No","RSE","No","","SIP",NA,NA,"","Segmentoide","","","",100,"G1"
8,"Cueva de la Cocina","1.96","0.59","0.27","","34.57","30.64","141.75","153.04","0","0","0.83","2.33","0.64",1942,1,"Gris","1.02","0.99","18.07.2017",NA,"",NA,"No escau","Inexistent","Directa","Directa","Pericot","No escau","Inexistent","Continu","Continu","","96.4","Trapezi","G5. Trapecio con un lado concavo","TRa 9.1.4 Trapecio con un lado concavo","G8. Trapecio con lado(s) concavo(s)","1131",120369,"No escau","Inexistent","Abrupte/Simple","Abrupte","Rectilini","Incomplet","Recte regular","Incomplet","Rectilini","Complet","No escau","No escau","Silex","No","","","","","","","","","","",NA,NA,"","","","","",96.4,"G6"
9,"Cueva de la Cocina","2.18","0.45","0.22","","27.81","29.56","0","0","0","2.86","0.68","2.65","0",1942,1,"Gris","1.34","1.46","18.07.2017",NA,"",NA,"No escau","Directa","Directa","Directa","Pericot","No escau","Continu","Continu","Continu","","95.75","Segment","G1. Segmento o media Luna","Sa 9.5 Segmento de retoque abrupto","G1. Segmento de retoque abrupto","1116",120369,"No escau","Abrupte","Abrupte","Abrupte","Convex","No escau","Convex pronunciat","No escau","Convex","No escau","Centrat suau","Incomplet","Silex","No","","","Trapezoïdal","Esquerra","","Si","RSE","Si","","SIP",NA,NA,"","Segmentoide","","","",95.75,"G1"
10,"Cueva de la Cocina","2.29","0.54","0.28","","31.26","43.54","0","0","0","2.55","0.89","2.31","0",1942,1,"Blanc","1.16","1.3","18.07.2017",NA,"",NA,"No escau","Directa","Directa","Directa","Pericot","No escau","Continu","Continu","Continu","","100","Segment","G1. Segmento o media Luna","Sa 9.5 Segmento de retoque abrupto","G1. Segmento de retoque abrupto","1116",120369,"No escau","Abrupte","Abrupte","Abrupte","Convex","No escau","Convex","No escau","Convex","No escau","Centrat suau","Complet","Silex","No","","","Segmentoïde","Dreta","","No","RSE","No","","SIP",NA,NA,"","Segmentoide","","","",100,"G1"
11,"Cueva de la Cocina","2.22","0.79","0.32","","50.21","41.88","0","0","0","2.69","1.27","2.22","0",1942,1,"Ocre","1.24","1.28","18.07.2017",NA,"",NA,"No escau","Doble bisell","Doble bisell","Doble bisell","Pericot","No escau","Continu","Continu","Continu","","100","Segment","G1. Segmento o media Luna","Ss 9.6 Segmento de doble bisel","G2. Segmento de retoque en doble bisel","1116",120369,"No escau","Oblicu","Oblicu","Oblicu","Convex","No escau","Convex pronunciat","No escau","Convex","No escau","Centrat abrupte","Complet","Silex","No","","","Trapezoïdal","Esquerra","","Si","RSE","Si","","SIP",NA,NA,"","Segmentoide","","","",100,"G1"
12,"Cueva de la Cocina","3.2","0.59","0.37","","43.36","23.14","0","0","0","3.39","1.23","3.15","0",1942,1,"Gris oscur","2.25","1.06","18.07.2017",NA,"",NA,"No escau","Directa","Directa","Directa","Pericot","No escau","Continu","Continu","Continu","","100","Segment","G1. Segmento o media Luna","Sa 9.5 Segmento de retoque abrupto","G1. Segmento de retoque abrupto","1145",120370,"No escau","Abrupte","Abrupte","Abrupte","Convex","No escau","Convex","No escau","Convex","No escau","Suau esquerra","Complet","Silex","No","","","Trapezoïdal","Esquerra","","No","RSE","No","","SIP",NA,NA,"","Segmentoide","","","",100,"G1"
13,"Cueva de la Cocina","2.46","0.65","0.32","","32.98","38.87","0","0","0","2.95","1.13","2.65","0",1942,1,"Rosa","1.48","1.39","18.07.2017",NA,"",NA,"No escau","Inversa","Inversa","Inversa","Pericot","No escau","Continu","Continu","Continu","","95.69","Segment","G1. Segmento o media Luna","Sa 9.5 Segmento de retoque abrupto","G1. Segmento de retoque abrupto","1145",120370,"No escau","Abrupte","Abrupte","Abrupte","Convex","No escau","Convex","No escau","Convex","No escau","Centrat abrupte","Incomplet","Silex","No","","- En la cara frontal de l'arc te un retoc directe molt marginal, pero

 no es pot considerar que siga doble bisell","Segmentoïde","Dreta","","No","RSE","No","","SIP",NA,NA,"","Segmentoide","","","",95.69,"G1"
